,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,demande,request
7,7,genre,kind
8,8,mois,month
9,9,laisser,let
10,10,car,because
11,11,mettre,to put
12,12,aucun,no
13,13,laisse,leash
14,14,eux,them
15,15,ville,city
16,16,chaque,each
17,17,parlé,speak
18,18,arrivé,come
19,19,bébé,baby
20,21,heures,hours
21,22,vont,will
22,23,pendant,while
23,24,revoir,meet again
24,25,aucune,any
25,26,place,square
26,27,parle,speak
27,28,compris,understood
28,29,attention,Warning
29,30,voici,here is
30,31,pourrais,could
31,32,affaire,case
32,33,donner,give
33,35,leurs,their
34,36,train,train
35,37,corps,body
36,38,endroit,place
37,39,yeux,eyes
38,40,façon,way
39,41,écoute,listen
40,42,dont,whose
41,43,trouve,find
42,44,premier,first
43,45,perdu,lost
44,46,main,hand
45,47,première,first
46,48,côté,side
47,49,vieux,old
48,50,sois,be
49,51,tiens,here
50,53,tellement,so much
51,54,enfant,child
52,55,point,point
53,56,venu,came
54,57,suite,after
55,58,pardon,sorry
56,59,venez,come
57,60,devant,in front of
58,61,vers,towards
59,62,demandé,request
60,63,chambre,bedroom
61,64,mis,placed
62,65,droit,law
63,66,aimerais,would like to
64,67,aujourd'hui,today
65,68,mari,husband
66,69,enfin,finally
67,70,espère,hope
68,71,eau,water
69,72,attendez,Wait
70,73,nouvelle,new
71,74,arrêter,Stop
72,75,dirait,would say
73,76,terre,Earth
74,77,compte,account
75,79,loin,far
76,80,fin,end
77,81,croire,believe
78,82,chérie,sweetheart
79,83,gros,large
80,84,aura,will have
81,86,jouer,to play
82,87,bureau,office
